id,s,t,h,r1,r2
760,225,784,4321,0.76665,0.76665
761,957,598,17540,0.44979,0.44979
762,114,53,7133,0.22066,0.22066
763,177,924,13182,0.96482,0.96482
764,204,443,18520,0.28518,0.28518
765,731,905,15707,0.71896,0.71896
766,331,198,12185,1.13052,1.13052
767,258,700,9386,0.56404,0.56404
768,443,935,15884,0.34573,0.34573
769,283,969,366,0.4659,0.4659
770,212,972,10182,0.88244,0.88244
771,195,580,18738,0.35653,0.35653
772,421,959,8450,0.94014,0.94014
773,923,51,12530,0.27178,0.27178
774,325,687,8324,0.49973,0.49973
775,52,393,9931,0.34945,0.34945
776,991,669,12976,0.99917,0.99917
777,847,864,3944,0.44724,0.44724
778,608,104,13461,0.37345,0.37345
779,93,435,13673,0.52181,0.52181
780,555,944,18456,0.83912,0.83912
781,130,604,10589,0.84725,0.84725
782,420,147,5075,0.74022,0.74022
783,73,259,10723,0.64596,0.64596
784,953,809,14590,0.12738,0.12738
785,18,899,19382,0.21331,0.21331
786,32,258,6226,0.51868,0.51868
787,510,234,8886,0.95033,0.95033
788,460,139,3550,0.43493,0.43493
789,984,926,1680,0.41384,0.41384
790,307,521,15305,0.60709,0.60709
791,678,731,15751,0.68585,0.68585
792,505,335,5319,0.77942,0.77942
793,991,29,3267,0.77534,0.77534
794,691,397,13542,0.48879,0.48879
795,754,908,18054,0.22898,0.22898
796,400,325,11734,1.15228,1.15228
797,380,244,8268,0.62789,0.62789
798,314,487,7345,0.1553,0.1553
799,436,627,830,0.82534,0.82534
800,323,871,4858,0.61223,0.61223
801,792,359,10323,0.57395,0.57395
802,753,66,4432,0.14806,0.14806
803,991,698,259,0.76159,0.76159
804,716,512,2700,0.38506,0.38506
805,787,784,17628,0.13845,0.13845
806,406,693,4061,0.51169,0.51169
807,411,315,7887,0.29647,0.29647
808,870,203,8830,0.09849,0.09849
809,171,892,2841,0.19618,0.19618
810,913,150,4046,0.46464,0.46464
811,938,650,17532,0.27981,0.27981
812,369,187,14436,0.7894,0.7894
813,923,620,15896,0.35779,0.35779
814,395,832,4438,1.00359,1.00359
815,484,381,3393,0.47498,0.47498
816,98,140,5789,0.63981,0.63981
817,395,487,17052,0.77245,0.77245
818,179,99,3960,0.88718,0.88718
819,364,912,19101,0.67727,0.67727
820,471,968,6121,0.27215,0.27215
821,127,430,12355,0.48222,0.48222
822,522,537,17278,0.78016,0.78016
823,109,966,13200,0.6199,0.6199
824,406,381,11445,0.70467,0.70467
825,985,397,13165,0.49888,0.49888
826,193,123,4786,0.45083,0.45083
827,695,690,3888,0.7273,0.7273
828,539,416,5451,0.5434,0.5434
829,500,268,18814,0.22769,0.22769
830,607,213,2410,0.78967,0.78967
831,935,778,9956,0.28802,0.28802
832,10,241,15879,0.34838,0.34838
833,875,814,1812,0.41283,0.41283
834,774,868,15861,0.91896,0.91896
835,714,466,7530,0.68748,0.68748
836,487,633,999,0.43732,0.43732
837,898,848,6769,0.39656,0.39656
838,653,965,19304,0.2926,0.2926
839,983,879,3806,0.24861,0.24861
840,158,814,18133,0.25703,0.25703
841,923,435,1710,0.51165,0.51165
842,822,827,18778,0.59412,0.59412
843,691,527,13824,0.5553,0.5553
